,userId,venueId,venueCategoryId,venueCategory,latitude,longitude,neighborhood_id
0,470,49bbd6c0f964a520f4531fe3,4bf58dd8d48988d127951735,Arts & Crafts Store,40.71981038,-74.00258103,220
1,979,4a43c0aef964a520c6a61fe3,4bf58dd8d48988d1df941735,Bridge,40.60679958,-74.04416981,104
2,69,4c5cc7b485a1e21e00d35711,4bf58dd8d48988d103941735,Home (private),40.71616168,-73.88307006,228
3,395,4bc7086715a7ef3bef9878da,4bf58dd8d48988d104941735,Medical Center,40.7451638,-73.98251878,264
4,87,4cf2c5321d18a143951b5cec,4bf58dd8d48988d1cb941735,Food Truck,40.74010383,-73.98965836,75
5,484,4b5b981bf964a520900929e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.69042712,-73.95468678,23
6,642,4ab966c3f964a5203c7f20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.75159143,-73.9741214,62
7,292,4d0cc47f903d37041864bf55,4bf58dd8d48988d12b951735,Bus Station,40.77942173,-73.95534113,261
8,428,4ce1863bc4f6a35d8bd2db6c,4bf58dd8d48988d103941735,Home (private),40.61915107,-74.0358876,104
9,877,4be319b321d5a59352311811,4bf58dd8d48988d10a951735,Bank,40.61900594,-73.99037473,44
10,87,4d8263a73e916dcb8edd80d2,4bf58dd8d48988d155941735,Gastropub,40.74348254,-73.99400899999999,75
11,625,4ab5320cf964a5202b7320e3,4bf58dd8d48988d122951735,Electronics Store,40.74260751,-73.99270535,75
12,691,4cb50d599c7ba35de0ef8706,4bf58dd8d48988d104941735,Medical Center,40.71976227,-74.25001400000001,93
13,116,4c0ab56f7e3fc9288c1df482,4f04afc02fb6e1c99f3db0bc,Mobile Phone Shop,40.74119055,-73.98966309999999,75
14,931,49f85763f964a520f16c1fe3,4bf58dd8d48988d16d941735,Café,40.7045885,-74.00963933,29
15,53,4c00297392a6c9280cc243e2,4bf58dd8d48988d124951735,Automotive Shop,40.8619815,-74.04790454,141
16,445,4b9830a5f964a520c73235e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.82678954,-73.94950924,13
17,135,4a689777f964a520a0ca1fe3,4bf58dd8d48988d1c4941735,Restaurant,40.75527488,-73.97880614,62
18,895,4bb7e0c41261d13a8707e898,4bf58dd8d48988d1e0931735,Coffee Shop,40.906627,-73.777774,61
19,704,4cb4b31cb4b0a35df33969ce,4bf58dd8d48988d14e941735,American Restaurant,40.73067679,-74.0656718,196
20,891,4ba8a9a9f964a5206ee539e3,4bf58dd8d48988d126941735,Government Building,40.88302033,-74.07587528,98
21,284,4abe60d8f964a520198d20e3,4bf58dd8d48988d1e0931735,Coffee Shop,40.74281621,-74.00040611,200
22,901,4c1ff4e68b3aa5933d499e5f,4bf58dd8d48988d1f0931735,Airport,40.64531729,-73.77383709,19
23,803,4c955b3558d4b60c06d03129,4bf58dd8d48988d12d951735,Ferry,40.76067265,-74.00367709,199
24,699,4ba0e0edf964a520138437e3,4bf58dd8d48988d124941735,Office,40.736676,-73.98891,134
25,100,4bc308db4cdfc9b639bf9621,4bf58dd8d48988d1e5941735,Other Great Outdoors,40.79059947,-73.98023378,195
26,642,4d9a2f78d97ba1430b43336b,4bf58dd8d48988d130941735,Building,40.75230661,-73.97185432,62
27,443,4a676ff4f964a5206fc91fe3,4bf58dd8d48988d124941735,Office,40.65553514,-74.00862938,235
28,689,4c5ef77bfff99c74eda954d3,4bf58dd8d48988d118951735,Food & Drink Shop,40.74186151,-73.98943363,75
29,390,4bcde547511f95210d62b5c7,4bf58dd8d48988d124941735,Office,40.75094552,-74.00563392,167
30,32,44af9feef964a5202b351fe3,4bf58dd8d48988d1c1941735,Mexican Restaurant,40.74773817,-73.98519815,47
31,230,3fd66200f964a52035e41ee3,4bf58dd8d48988d1e5931735,Music Venue,40.731698,-73.98922694,277
32,445,4b3a8e5df964a520d86925e3,4bf58dd8d48988d1fd931735,Subway,40.82650767,-73.95039082,13
33,834,4b55ec3bf964a520aaf627e3,4bf58dd8d48988d1ab941735,Student Center,40.86283582,-74.19723988,183
34,962,40b68100f964a5207d001fe3,4bf58dd8d48988d163941735,Park,40.74218831,-73.98792419,75
35,1032,4bf5cedf4d5f20a1833d98fe,4bf58dd8d48988d1f9931735,Road,40.90105787,-74.15076256,86
36,525,4f5684de771657f331e5ca01,4bf58dd8d48988d103941735,Home (private),40.96324076,-74.0946311,45
38,962,40e74880f964a520150a1fe3,4bf58dd8d48988d16c941735,Burger Joint,40.7414075,-73.98843795,75
39,318,4b4fafebf964a520ee1027e3,4bf58dd8d48988d1fd931735,Subway,40.69743322,-73.9930433,137
40,1047,4ad607d3f964a520a10421e3,4bf58dd8d48988d10a951735,Bank,40.77807781,-73.95449162,261
41,738,4c06877bcf8c76b0f09b3a65,4bf58dd8d48988d124941735,Office,40.72817168,-74.00752187,147
42,364,4b7718d4f964a520077d2ee3,4bf58dd8d48988d1f2941735,Sporting Goods Shop,40.77901409,-73.95403862,261
43,398,4b6752eef964a52006482be3,4bf58dd8d48988d1ca941735,Pizza Place,40.77615805,-73.82361593,122
44,839,4cd03669c5b39eb043fb5a16,4bf58dd8d48988d111951735,Jewelry Store,40.75062326,-73.99004187,254
45,424,49c7f7c2f964a520da571fe3,4bf58dd8d48988d1c5941735,Sandwich Place,40.68892999,-73.9956665,160
46,751,49b15042f964a520d4521fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.727612,-74.007306,147
47,1047,4ca66eec5a1e952129d98ace,4bf58dd8d48988d103951735,Clothing Store,40.77843897,-73.95451458,261
48,889,4c79b79381bca093e689fe14,4f2a25ac4b909258e854f55f,Neighborhood,40.92431191,-73.9968883,22
49,612,447bf8f1f964a520ec331fe3,4bf58dd8d48988d122951735,Electronics Store,40.76391921,-73.97313996,110
50,643,4cbf5c4e985aa35da7854612,4bf58dd8d48988d177941735,Medical Center,40.786713,-74.175476,223
51,643,4d1a2428401db60c2e9fffa4,4bf58dd8d48988d196941735,Medical Center,40.78690639,-74.17540497,223
52,1032,4e6657e7d4c06542ac9acee2,4bf58dd8d48988d177941735,Medical Center,40.88544,-74.13887,86
53,718,4d98393cb7bf2c0f9ff5ea2d,4bf58dd8d48988d1fe931735,Bus Station,40.81721954,-73.94790173,13
54,768,4dbdebed6e810768bf82ad95,4bf58dd8d48988d1c9941735,Ice Cream Shop,40.80396498,-74.00513467,55
55,15,4b0d88b2f964a5206d4a23e3,4bf58dd8d48988d1dd931735,Soup Place,40.785678999999995,-73.97283399999999,195
56,768,4e79392ce4cdb158f1cf4b75,4bf58dd8d48988d103941735,Home (private),40.80204208,-74.00063278,287
57,458,4ca264431ee76dcb0d32f0dd,4bf58dd8d48988d19f941735,College Academic Building,40.69684128,-73.98717238,137
58,877,4bcd8da3511f95219fbbb4c7,4bf58dd8d48988d10a951735,Bank,40.61802636,-73.99167746,44
59,280,4bdb4bf54b1f952169ac670b,4bf58dd8d48988d118951735,Food & Drink Shop,40.73971083,-73.98251798,264
60,318,4b093cd0f964a520db1423e3,4bf58dd8d48988d1fd931735,Subway,40.7509958,-73.99068832,254
61,839,41102700f964a520d60b1fe3,4bf58dd8d48988d1f6941735,Department Store,40.75061379,-73.98856401,47
62,1016,4d72a06ff7c38cfaa94aaa3d,4bf58dd8d48988d1e7941735,Playground,40.93253437,-74.00992625,22
63,281,4c17d9974ff90f47a9890d49,4bf58dd8d48988d1de931735,Tattoo Parlor,40.7471092,-74.15280867,266
64,366,4528a216f964a520173b1fe3,4bf58dd8d48988d1fd941735,Mall,40.73405558,-73.87084723,144
65,276,4ab11744f964a520046820e3,4bf58dd8d48988d146941735,Deli / Bodega,40.75110146,-73.98130059,47
66,135,4cd028a77b6854810ac7bff8,4bf58dd8d48988d124941735,Office,40.708515000000006,-74.00728199999999,155
67,227,4bcb49aefb84c9b608821e3e,4bf58dd8d48988d1a7941735,College Academic Building,40.74358598,-74.17815694,151
