,label,latitude,longitude,venueId
0,220,40.71981038,-74.00258103,49bbd6c0f964a520f4531fe3
1,104,40.60679958,-74.04416981,4a43c0aef964a520c6a61fe3
2,228,40.71616168,-73.88307006,4c5cc7b485a1e21e00d35711
3,264,40.7451638,-73.98251878,4bc7086715a7ef3bef9878da
4,75,40.74010383,-73.98965836,4cf2c5321d18a143951b5cec
5,23,40.69042712,-73.95468678,4b5b981bf964a520900929e3
6,62,40.75159143,-73.9741214,4ab966c3f964a5203c7f20e3
7,261,40.77942173,-73.95534113,4d0cc47f903d37041864bf55
8,104,40.61915107,-74.0358876,4ce1863bc4f6a35d8bd2db6c
9,44,40.61900594,-73.99037473,4be319b321d5a59352311811
10,75,40.74348254,-73.99400899999999,4d8263a73e916dcb8edd80d2
11,75,40.74260751,-73.99270535,4ab5320cf964a5202b7320e3
12,93,40.71976227,-74.25001400000001,4cb50d599c7ba35de0ef8706
13,75,40.74119055,-73.98966309999999,4c0ab56f7e3fc9288c1df482
14,29,40.7045885,-74.00963933,49f85763f964a520f16c1fe3
15,141,40.8619815,-74.04790454,4c00297392a6c9280cc243e2
16,13,40.82678954,-73.94950924,4b9830a5f964a520c73235e3
17,62,40.75527488,-73.97880614,4a689777f964a520a0ca1fe3
18,61,40.906627,-73.777774,4bb7e0c41261d13a8707e898
19,196,40.73067679,-74.0656718,4cb4b31cb4b0a35df33969ce
20,98,40.88302033,-74.07587528,4ba8a9a9f964a5206ee539e3
21,200,40.74281621,-74.00040611,4abe60d8f964a520198d20e3
22,19,40.64531729,-73.77383709,4c1ff4e68b3aa5933d499e5f
23,199,40.76067265,-74.00367709,4c955b3558d4b60c06d03129
24,134,40.736676,-73.98891,4ba0e0edf964a520138437e3
25,195,40.79059947,-73.98023378,4bc308db4cdfc9b639bf9621
26,62,40.75230661,-73.97185432,4d9a2f78d97ba1430b43336b
27,235,40.65553514,-74.00862938,4a676ff4f964a5206fc91fe3
28,75,40.74186151,-73.98943363,4c5ef77bfff99c74eda954d3
29,167,40.75094552,-74.00563392,4bcde547511f95210d62b5c7
30,47,40.74773817,-73.98519815,44af9feef964a5202b351fe3
31,277,40.731698,-73.98922694,3fd66200f964a52035e41ee3
32,13,40.82650767,-73.95039082,4b3a8e5df964a520d86925e3
33,183,40.86283582,-74.19723988,4b55ec3bf964a520aaf627e3
34,75,40.74218831,-73.98792419,40b68100f964a5207d001fe3
35,86,40.90105787,-74.15076256,4bf5cedf4d5f20a1833d98fe
36,45,40.96324076,-74.0946311,4f5684de771657f331e5ca01
37,75,40.7414075,-73.98843795,40e74880f964a520150a1fe3
38,137,40.69743322,-73.9930433,4b4fafebf964a520ee1027e3
39,261,40.77807781,-73.95449162,4ad607d3f964a520a10421e3
40,147,40.72817168,-74.00752187,4c06877bcf8c76b0f09b3a65
41,261,40.77901409,-73.95403862,4b7718d4f964a520077d2ee3
42,122,40.77615805,-73.82361593,4b6752eef964a52006482be3
43,254,40.75062326,-73.99004187,4cd03669c5b39eb043fb5a16
44,160,40.68892999,-73.9956665,49c7f7c2f964a520da571fe3
45,147,40.727612,-74.007306,49b15042f964a520d4521fe3
46,261,40.77843897,-73.95451458,4ca66eec5a1e952129d98ace
47,22,40.92431191,-73.9968883,4c79b79381bca093e689fe14
48,110,40.76391921,-73.97313996,447bf8f1f964a520ec331fe3
49,223,40.786713,-74.175476,4cbf5c4e985aa35da7854612
50,223,40.78690639,-74.17540497,4d1a2428401db60c2e9fffa4
51,86,40.88544,-74.13887,4e6657e7d4c06542ac9acee2
52,13,40.81721954,-73.94790173,4d98393cb7bf2c0f9ff5ea2d
53,55,40.80396498,-74.00513467,4dbdebed6e810768bf82ad95
54,195,40.785678999999995,-73.97283399999999,4b0d88b2f964a5206d4a23e3
55,287,40.80204208,-74.00063278,4e79392ce4cdb158f1cf4b75
56,137,40.69684128,-73.98717238,4ca264431ee76dcb0d32f0dd
57,44,40.61802636,-73.99167746,4bcd8da3511f95219fbbb4c7
58,264,40.73971083,-73.98251798,4bdb4bf54b1f952169ac670b
59,254,40.7509958,-73.99068832,4b093cd0f964a520db1423e3
60,47,40.75061379,-73.98856401,41102700f964a520d60b1fe3
61,22,40.93253437,-74.00992625,4d72a06ff7c38cfaa94aaa3d
62,266,40.7471092,-74.15280867,4c17d9974ff90f47a9890d49
63,144,40.73405558,-73.87084723,4528a216f964a520173b1fe3
64,47,40.75110146,-73.98130059,4ab11744f964a520046820e3
65,155,40.708515000000006,-74.00728199999999,4cd028a77b6854810ac7bff8
66,151,40.74358598,-74.17815694,4bcb49aefb84c9b608821e3e
67,205,40.76260087,-73.9660057,4ae8495ef964a5207fae21e3
68,212,40.69541297,-73.98732159,4b298573f964a52050a024e3
69,298,40.679190000000006,-73.995548,4c424ceea5c5ef3b2876b06f
70,231,40.80463955,-73.93786213,4c1d0f98c09ed13ad4c5828e
71,97,40.701586799999994,-73.95745343,4c911bb157e5b60ce3df5d1c
72,47,40.74790921,-73.98380928,4c8e9b251992a1cd211edffb
73,11,40.830936,-74.20743204,4b8c4735f964a5201dc832e3
74,42,40.71589126,-74.03416157,4b7c9fe1f964a520559e2fe3
75,2,40.77536339,-73.95570500000001,4c671f759cb82d7fd1d192d2
76,264,40.745245000000004,-73.982692,4a7a0832f964a5203ce81fe3
77,137,40.70473328,-73.98773789,4b96b432f964a52018df34e3
78,290,40.91220464,-74.01238511,4e5dbf1e1f6e3022a71c242b
79,47,40.74697652,-73.98325259,4c56f9ad30d82d7f3cbcd862
80,61,40.91192343,-73.78237724,4d4de33cd6f3224bca73a1a6
81,218,40.75951305,-73.83147240000001,4c62bfd0e1621b8dfe232453
82,182,40.771046000000005,-74.065758,4f51526fe4b002a741157c16
83,251,40.72703111,-74.03484821,4b8d2387f964a520dbe932e3
84,62,40.751411600000004,-73.97994108,4c1a2bbf838020a1adc4e661
85,62,40.75539132,-73.97425915,4af42a00f964a52055f021e3
86,151,40.7383284,-74.17913158,4ea828b19a526de96a96ad94
87,171,40.725891,-73.79143081,4b565676f964a520120c28e3
88,58,40.83162209,-74.13679361,4af12cb7f964a520d3e021e3
89,171,40.726045,-73.79091154,4b6214e1f964a52059342ae3
90,42,40.71528089,-74.03639537,4c3b49c54565e21eb775566a
91,15,40.75821277,-73.98682594,462a6065f964a520d9451fe3
92,110,40.76235954,-73.97223886,4f7b49bbe4b00fc6db78ec89
93,7,40.828602200000006,-73.87925863,4e9bb3850cd6de03c41c1963
94,75,40.74546291,-73.99098305,4a8ae51ef964a520c10a20e3
95,283,40.60014372,-73.94659322,4c72dbbf13228cfa0c362c65
96,20,40.87063009,-74.09792627,4e5590b5814d6ce5cc849483
97,186,40.80870048,-73.95851531,4f4767e3e4b06a7740bdc8dd
98,264,40.74404465,-73.98373696,45c76421f964a52066421fe3
99,242,40.67755881,-73.74452480000001,4cd1a3d601eaf04db979bf5d
100,242,40.67912093,-73.74992033,4bb50ba546d4a593de78c4c0
101,97,40.699108,-73.955248,4cfbe68a0df3236a2a30fca9
102,272,40.64508936,-73.78452301,43a52546f964a520532c1fe3
103,6,40.722841700000004,-73.99411647,3fd66200f964a52004e61ee3
104,94,40.68006413,-73.76161876,4c3a1d102c8020a1f9d58d00
105,94,40.68083,-73.76331,4bbfcfd3461576b0d4487932
106,295,40.74623905,-73.98058961,4ee6e1970e61681b98844283
107,110,40.75931346,-73.97849478,4f68c7b0e4b0c15ca3e46388
108,277,40.72828342,-73.98788499999999,3fd66200f964a5209ee41ee3
109,264,40.738553,-73.98739300000001,3fd66200f964a52067e51ee3
110,2,40.77352188,-73.95678520000001,4c0b32d37e3fc928650bf582
111,147,40.72862394,-74.005252,4b609666f964a520f9ee29e3
112,213,40.82358935,-74.22380201,4e359a41814d2eb947337c4e
113,38,40.77834721,-73.980903,49e2afb2f964a5204d621fe3
114,114,40.82477735,-73.88307006,4cd544d894848cfa6a0de5b1
115,47,40.74828059,-73.98556262,43695300f964a5208c291fe3
116,21,40.58532515,-73.9520234,4b422afbf964a5200bce25e3
117,47,40.74837051,-73.98568869,4b4b7979f964a520249d26e3
118,115,40.94175915,-74.01238511,4df53b7bd4c01ff6b2f262ec
119,131,40.61848447,-73.75366953,4eb4ce184901cef9d84576f8
120,59,40.94040013,-73.96214862,4bd383cba8b3a5935b386a5f
121,137,40.70242744,-73.99048448,4c81086adc018cfaa883c16c
122,141,40.84430601,-74.04396304,4db74cce43a10648ae1614e2
123,200,40.74277821,-73.99833798,45d1a484f964a520af421fe3
124,141,40.840306,-74.04756322,4bddec8a0ee3a59391312fb0
125,261,40.78280364,-73.95175936,4f24316fe4b063d400403adc
126,293,40.73083612,-73.99764061,40abf500f964a52035f31ee3
127,252,40.889574100000004,-74.09540176,4aeb7ef7f964a520abc221e3
128,293,40.730769,-73.9974505,4caf3aa3b4b0a35db3273fce
